City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,sinop,41.7711,34.8709,49.21,99,100,4.09,TR,1682631895
92,susuman,62.7833,148.1667,20.25,91,85,1.68,RU,1682631895
93,suntar,62.1444,117.6319,26.55,99,99,3.15,RU,1682631896
94,fale old settlement,-9.3852,-171.2468,83.21,76,100,12.68,TK,1682631896
95,bethanie,-26.4833,17.15,63.39,30,0,2.64,NA,1682631896
96,villa gesell,-37.2639,-56.973,60.06,81,100,9.84,AR,1682631868
97,prince rupert,54.3161,-130.3201,50.09,59,75,12.66,CA,1682631882
98,pimentel,-6.8367,-79.9342,84.49,58,20,18.41,PE,1682631898
99,london,51.5085,-0.1257,52.52,94,100,11.5,GB,1682631684
100,breves,-1.6822,-50.4803,74.91,96,99,2.73,BR,1682631899
101,lodja,-3.4833,23.4333,75.79,76,88,2.24,CD,1682631899
102,ilha de mocambique,-15.0342,40.7358,79.54,68,55,12.88,MZ,1682631900
103,punta arenas,-53.15,-70.9167,44.71,61,40,5.75,CL,1682631733
104,birjand,32.8663,59.2211,57.67,24,0,6.91,IR,1682631901
105,wakkanai,45.4094,141.6739,43.56,80,59,8.93,JP,1682631902
106,keelung,25.1283,121.7419,74.05,83,98,3.42,TW,1682631906
107,yelizovo,53.1873,158.3805,37.54,51,20,4.47,RU,1682631909
108,tura,25.5198,90.2201,76.64,44,86,1.74,IN,1682631819
109,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,52,20,4.47,RU,1682631911
110,arkhangel'sk,64.5401,40.5433,32.11,69,0,11.18,RU,1682631912
111,invercargill,-46.4,168.35,53.02,82,60,1.99,NZ,1682631913
112,shahrak,34.1074,64.3052,51.76,38,57,4.29,AF,1682631914
113,kemise,10.7167,39.8667,66.96,79,95,5.03,ET,1682631915
114,vilyuchinsk,52.9306,158.4028,37.67,68,100,29.01,RU,1682631791
115,safford,32.834,-109.7076,86.92,8,0,17.27,US,1682631852
116,briancon,44.9,6.65,51.35,92,51,3.11,FR,1682631917
117,arar,30.9753,41.0381,75.22,14,40,8.05,SA,1682631917
118,yellowknife,62.456,-114.3525,41.52,75,75,16.11,CA,1682631919
119,hadibu,12.65,54.0333,83.17,75,44,7.02,YE,1682631920
120,lata,40.1629,-8.3327,65.91,67,93,1.99,PT,1682631921
121,qaqortoq,60.7167,-46.0333,34.2,82,10,6.04,GL,1682631922
122,llanes,43.4198,-4.7549,62.83,84,96,2.84,ES,1682631923
123,mount gambier,-37.8333,140.7667,53.71,78,100,11.43,AU,1682631923
124,hamilton,39.1834,-84.5333,69.24,41,0,11.5,US,1682631659
125,cururupu,-1.8283,-44.8683,74.61,96,99,3.18,BR,1682631925
126,leava,-14.3,-178.1667,83.12,72,25,7.31,WF,1682631925
127,keflavik,64.0049,-22.5624,37.31,80,75,5.75,IS,1682631926
128,gagliano del capo,39.8442,18.3695,51.82,70,45,13.76,IT,1682631926
129,tazacorte,28.629,-17.9293,69.15,73,0,3.44,ES,1682631927
130,betio village,1.358,172.9211,86.04,77,20,14.32,KI,1682631693
131,lebyazh'ye,55.2689,66.4947,56.37,48,32,8.77,RU,1682631928
132,enewetak,11.3474,162.3373,80.64,81,54,20.71,MH,1682631928
133,palikir - national government center,6.9248,158.1611,83.25,79,100,11.5,FM,1682631929
134,taroa,8.7058,171.2275,81.75,81,40,16.08,MH,1682631709
135,abeche,13.8292,20.8324,89.94,13,78,7.25,TD,1682631930
136,pisco,-13.7,-76.2167,77.05,69,0,16.11,PE,1682631931
137,howrah,22.5892,88.3103,77.0,83,40,5.75,IN,1682631836
138,bredasdorp,-34.5322,20.0403,56.5,86,2,4.97,ZA,1682631933
139,hilo,19.7297,-155.09,85.28,73,40,13.8,US,1682631934
140,ust-nera,64.5667,143.2,23.95,86,26,1.07,RU,1682631934
141,santiago de cao,-7.9589,-79.2392,77.13,78,0,12.66,PE,1682631935
142,saipan,15.1355,145.701,81.3,89,40,17.27,MP,1682631935
143,olonkinbyen,70.9221,-8.7187,28.89,96,100,24.0,SJ,1682631936
144,namibe,-15.1961,12.1522,73.35,80,33,10.51,AO,1682631936
145,sivas,39.7916,37.0019,41.63,93,75,6.91,TR,1682631937
146,saint-joseph,-21.3667,55.6167,69.48,89,56,6.71,RE,1682631934
147,jamestown,42.097,-79.2353,63.52,29,0,3.44,US,1682631787
148,twon-brass,4.3151,6.2418,75.56,87,100,5.66,NG,1682631941
149,luderitz,-26.6481,15.1594,59.94,69,0,11.23,NA,1682631941
150,gadzhiyevo,69.2551,33.3362,31.03,78,17,20.15,RU,1682631941
151,holualoa,19.6228,-155.9522,76.84,81,40,8.05,US,1682631942
152,lyndon,38.2567,-85.6016,67.78,45,100,12.66,US,1682631943
153,port lincoln,-34.7333,135.8667,59.36,56,84,15.41,AU,1682631842
154,luwuk,-0.9516,122.7875,79.05,81,91,3.0,ID,1682631943
155,port blair,11.6667,92.75,82.74,76,66,4.07,IN,1682631855
156,berdigestyakh,62.0989,126.6992,27.48,98,82,5.46,RU,1682631945
157,kristiansund,63.1115,7.732,39.85,56,75,10.36,NO,1682631945
158,nerchinsk,51.9833,116.5833,32.94,59,37,8.52,RU,1682631945
159,biltine,14.5333,20.9167,89.04,15,57,8.03,TD,1682631946
160,todos santos,23.45,-110.2167,66.43,79,0,7.76,MX,1682631947
